engine_a,engine_b,set_id,input_sku1,input_sku2,input_sku3,duplicate_input_brand_trial,anthropic_top1,anthropic_rank2,anthropic_rank3,openai_top1,openai_rank2,openai_rank3,top1_match,full_rank_match,complete_pair,agreement_signature
anthropic,openai,main_00125,스킨1004,더후,아누아,False,아누아,스킨1004,더후,스킨1004,아누아,더후,False,False,True,아누아 > 스킨1004 > 더후 || 스킨1004 > 아누아 > 더후
anthropic,openai,main_00131,바노바기,닥터지,더후,False,바노바기,닥터지,더후,닥터지,더후,바노바기,False,False,True,바노바기 > 닥터지 > 더후 || 닥터지 > 더후 > 바노바기
anthropic,openai,main_00154,메디큐브,비플레인,은율,False,메디큐브,비플레인,은율,비플레인,은율,메디큐브,False,False,True,메디큐브 > 비플레인 > 은율 || 비플레인 > 은율 > 메디큐브
anthropic,openai,main_00177,에스트라,스킨1004,닥터지,False,스킨1004,닥터지,에스트라,에스트라,닥터지,스킨1004,False,False,True,스킨1004 > 닥터지 > 에스트라 || 에스트라 > 닥터지 > 스킨1004
anthropic,openai,main_00179,더후,넘버즈인,퓨어케이,False,퓨어케이,넘버즈인,더후,넘버즈인,퓨어케이,더후,False,False,True,퓨어케이 > 넘버즈인 > 더후 || 넘버즈인 > 퓨어케이 > 더후
anthropic,openai,main_00181,션리,벤튼,베네투스,False,션리,베네투스,,베네투스,벤튼,션리,False,False,False,션리 > 베네투스 > nan || 베네투스 > 벤튼 > 션리
anthropic,openai,main_00185,에스트라,앰플엔,벤튼,False,벤튼,에스트라,앰플엔,에스트라,벤튼,앰플엔,False,False,True,벤튼 > 에스트라 > 앰플엔 || 에스트라 > 벤튼 > 앰플엔
anthropic,openai,main_00188,제이엠솔루션,피캄,와더스킨,False,와더스킨,제이엠솔루션,피캄,피캄,와더스킨,제이엠솔루션,False,False,True,와더스킨 > 제이엠솔루션 > 피캄 || 피캄 > 와더스킨 > 제이엠솔루션
anthropic,openai,main_00194,더후,스킨푸드,에뛰드,False,스킨푸드,에뛰드,더후,더후,에뛰드,스킨푸드,False,False,True,스킨푸드 > 에뛰드 > 더후 || 더후 > 에뛰드 > 스킨푸드
anthropic,openai,main_00201,스킨1004,더후,닥터오라클,False,닥터오라클,스킨1004,더후,스킨1004,닥터오라클,더후,False,False,True,닥터오라클 > 스킨1004 > 더후 || 스킨1004 > 닥터오라클 > 더후
anthropic,openai,main_00236,믹순,아이소이,조선미녀,False,믹순,조선미녀,아이소이,아이소이,조선미녀,믹순,False,False,True,믹순 > 조선미녀 > 아이소이 || 아이소이 > 조선미녀 > 믹순
anthropic,openai,main_00238,이즈앤트리,헉슬리,은율,False,은율,헉슬리,이즈앤트리,이즈앤트리,은율,헉슬리,False,False,True,은율 > 헉슬리 > 이즈앤트리 || 이즈앤트리 > 은율 > 헉슬리
anthropic,openai,main_00266,숨37,토니모리,시드물,False,토니모리,시드물,숨37,시드물,토니모리,숨37,False,False,True,토니모리 > 시드물 > 숨37 || 시드물 > 토니모리 > 숨37
anthropic,openai,main_00267,미샤,아누아,메디큐브,False,메디큐브,미샤,아누아,미샤,메디큐브,아누아,False,False,True,메디큐브 > 미샤 > 아누아 || 미샤 > 메디큐브 > 아누아
anthropic,openai,main_00282,듀이트리,유이크,라곰,False,라곰,유이크,듀이트리,듀이트리,라곰,유이크,False,False,True,라곰 > 유이크 > 듀이트리 || 듀이트리 > 라곰 > 유이크
anthropic,openai,main_00286,스킨1004,유이크,퓨어케이,False,유이크,스킨1004,퓨어케이,스킨1004,유이크,퓨어케이,False,False,True,유이크 > 스킨1004 > 퓨어케이 || 스킨1004 > 유이크 > 퓨어케이
anthropic,openai,main_00314,파파레서피,비플레인,오드로이,False,파파레서피,비플레인,오드로이,비플레인,파파레서피,오드로이,False,False,True,파파레서피 > 비플레인 > 오드로이 || 비플레인 > 파파레서피 > 오드로이
anthropic,openai,main_00329,스킨푸드,리얼베리어,스킨푸드,True,스킨푸드,리얼베리어,스킨푸드,리얼베리어,스킨푸드,스킨푸드,False,False,True,스킨푸드 > 리얼베리어 > 스킨푸드 || 리얼베리어 > 스킨푸드 > 스킨푸드
anthropic,openai,main_00343,블랑네이처,편강율,토리든,False,블랑네이처,토리든,편강율,토리든,편강율,블랑네이처,False,False,True,블랑네이처 > 토리든 > 편강율 || 토리든 > 편강율 > 블랑네이처
anthropic,openai,main_00345,스킨푸드,퓨어케이,스킨1004,False,퓨어케이,스킨푸드,스킨1004,스킨1004,스킨푸드,퓨어케이,False,False,True,퓨어케이 > 스킨푸드 > 스킨1004 || 스킨1004 > 스킨푸드 > 퓨어케이
anthropic,openai,main_00348,와더스킨,은율,에뛰드,False,와더스킨,에뛰드,은율,에뛰드,와더스킨,은율,False,False,True,와더스킨 > 에뛰드 > 은율 || 에뛰드 > 와더스킨 > 은율
anthropic,openai,main_00352,은율,믹순,메디큐브,False,메디큐브,믹순,은율,은율,메디큐브,믹순,False,False,True,메디큐브 > 믹순 > 은율 || 은율 > 메디큐브 > 믹순
anthropic,openai,main_00355,이아소,페이스인페이스,에뛰드,False,페이스인페이스,이아소,,이아소,에뛰드,페이스인페이스,False,False,False,페이스인페이스 > 이아소 > nan || 이아소 > 에뛰드 > 페이스인페이스
anthropic,openai,main_00358,일리윤,일리윤,일루미엘,True,일루미엘,일리윤,일리윤,일리윤,일리윤,일루미엘,False,False,True,일루미엘 > 일리윤 > 일리윤 || 일리윤 > 일리윤 > 일루미엘
anthropic,openai,main_00370,리얼베리어,스킨바리스타,휩드,False,휩드,리얼베리어,스킨바리스타,리얼베리어,휩드,스킨바리스타,False,False,True,휩드 > 리얼베리어 > 스킨바리스타 || 리얼베리어 > 휩드 > 스킨바리스타
anthropic,openai,main_00389,리얼베리어,더후,엘리메르,False,리얼베리어,엘리메르,더후,엘리메르,리얼베리어,더후,False,False,True,리얼베리어 > 엘리메르 > 더후 || 엘리메르 > 리얼베리어 > 더후
anthropic,openai,main_00406,빌리프,벤튼,아누아,False,빌리프,벤튼,아누아,아누아,빌리프,벤튼,False,False,True,빌리프 > 벤튼 > 아누아 || 아누아 > 빌리프 > 벤튼
anthropic,openai,main_00408,토리든,유이크,제이준,False,유이크,토리든,제이준,토리든,제이준,유이크,False,False,True,유이크 > 토리든 > 제이준 || 토리든 > 제이준 > 유이크
anthropic,openai,main_00414,토리든,더후,그레이멜린,False,그레이멜린,토리든,더후,토리든,그레이멜린,더후,False,False,True,그레이멜린 > 토리든 > 더후 || 토리든 > 그레이멜린 > 더후
anthropic,openai,main_00416,닥터벨머,아비브,토니모리,False,토니모리,아비브,닥터벨머,아비브,토니모리,닥터벨머,False,False,True,토니모리 > 아비브 > 닥터벨머 || 아비브 > 토니모리 > 닥터벨머
anthropic,openai,main_00434,시드물,비욘드,제이엠솔루션,False,제이엠솔루션,시드물,비욘드,시드물,제이엠솔루션,비욘드,False,False,True,제이엠솔루션 > 시드물 > 비욘드 || 시드물 > 제이엠솔루션 > 비욘드
anthropic,openai,main_00442,더후,비욘드,아비브,False,아비브,비욘드,더후,비욘드,아비브,더후,False,False,True,아비브 > 비욘드 > 더후 || 비욘드 > 아비브 > 더후
anthropic,openai,main_00452,미샤,은율,이니스프리,False,이니스프리,미샤,은율,미샤,이니스프리,은율,False,False,True,이니스프리 > 미샤 > 은율 || 미샤 > 이니스프리 > 은율
anthropic,openai,main_00483,오드로이,파티온,오휘,False,오드로이,파티온,오휘,오휘,파티온,오드로이,False,False,True,오드로이 > 파티온 > 오휘 || 오휘 > 파티온 > 오드로이
anthropic,openai,main_00489,피캄,일리윤,퐁당,False,일리윤,피캄,퐁당,피캄,일리윤,퐁당,False,False,True,일리윤 > 피캄 > 퐁당 || 피캄 > 일리윤 > 퐁당
anthropic,openai,main_00491,라운드랩,아누아,파파레서피,False,아누아,라운드랩,파파레서피,라운드랩,파파레서피,아누아,False,False,True,아누아 > 라운드랩 > 파파레서피 || 라운드랩 > 파파레서피 > 아누아
anthropic,openai,main_00492,코스알엑스,더후,넘버즈인,False,코스알엑스,넘버즈인,더후,넘버즈인,코스알엑스,더후,False,False,True,코스알엑스 > 넘버즈인 > 더후 || 넘버즈인 > 코스알엑스 > 더후
anthropic,openai,main_00499,일리윤,리얼베리어,편강율,False,편강율,일리윤,리얼베리어,일리윤,리얼베리어,편강율,False,False,True,편강율 > 일리윤 > 리얼베리어 || 일리윤 > 리얼베리어 > 편강율
anthropic,openai,main_00508,잇츠스킨,비레디,메디팜,False,비레디,메디팜,잇츠스킨,메디팜,비레디,잇츠스킨,False,False,True,비레디 > 메디팜 > 잇츠스킨 || 메디팜 > 비레디 > 잇츠스킨
anthropic,openai,main_00510,은율,그레이멜린,일소,False,그레이멜린,은율,일소,은율,그레이멜린,일소,False,False,True,그레이멜린 > 은율 > 일소 || 은율 > 그레이멜린 > 일소
anthropic,openai,main_00515,션리,이아소,아누아,False,아누아,션리,이아소,이아소,아누아,션리,False,False,True,아누아 > 션리 > 이아소 || 이아소 > 아누아 > 션리
anthropic,openai,main_00525,블라이드,편강율,에스트라,False,편강율,에스트라,블라이드,에스트라,편강율,블라이드,False,False,True,편강율 > 에스트라 > 블라이드 || 에스트라 > 편강율 > 블라이드
anthropic,openai,main_00527,비알머드,에뛰드,토니모리,False,토니모리,에뛰드,비알머드,에뛰드,토니모리,비알머드,False,False,True,토니모리 > 에뛰드 > 비알머드 || 에뛰드 > 토니모리 > 비알머드
anthropic,openai,main_00538,코스알엑스,믹순,오휘,False,믹순,코스알엑스,오휘,코스알엑스,오휘,믹순,False,False,True,믹순 > 코스알엑스 > 오휘 || 코스알엑스 > 오휘 > 믹순
anthropic,openai,main_00540,시드물,일리윤,듀이트리,False,시드물,듀이트리,일리윤,일리윤,듀이트리,시드물,False,False,True,시드물 > 듀이트리 > 일리윤 || 일리윤 > 듀이트리 > 시드물
anthropic,openai,main_00541,스킨1004,실크크리스탈,그레이멜린,False,그레이멜린,스킨1004,실크크리스탈,스킨1004,그레이멜린,실크크리스탈,False,False,True,그레이멜린 > 스킨1004 > 실크크리스탈 || 스킨1004 > 그레이멜린 > 실크크리스탈
anthropic,openai,main_00552,닥터오라클,스킨푸드,일리윤,False,닥터오라클,스킨푸드,일리윤,일리윤,닥터오라클,스킨푸드,False,False,True,닥터오라클 > 스킨푸드 > 일리윤 || 일리윤 > 닥터오라클 > 스킨푸드
anthropic,openai,main_00568,김소형풀,테라비코스,라로슈포제,False,테라비코스,라로슈포제,김소형풀,라로슈포제,테라비코스,김소형풀,False,False,True,테라비코스 > 라로슈포제 > 김소형풀 || 라로슈포제 > 테라비코스 > 김소형풀
anthropic,openai,main_00579,테라비코스,비레디,메디팜,False,테라비코스,메디팜,비레디,메디팜,테라비코스,비레디,False,False,True,테라비코스 > 메디팜 > 비레디 || 메디팜 > 테라비코스 > 비레디
anthropic,openai,main_00608,파파레서피,스킨푸드,코스알엑스,False,파파레서피,코스알엑스,스킨푸드,코스알엑스,스킨푸드,파파레서피,False,False,True,파파레서피 > 코스알엑스 > 스킨푸드 || 코스알엑스 > 스킨푸드 > 파파레서피
anthropic,openai,main_00616,셀리맥스,에스트라,설화수,False,셀리맥스,에스트라,설화수,에스트라,셀리맥스,설화수,False,False,True,셀리맥스 > 에스트라 > 설화수 || 에스트라 > 셀리맥스 > 설화수
anthropic,openai,main_00633,믹순,나인위시스,메디필,False,메디필,믹순,나인위시스,나인위시스,메디필,믹순,False,False,True,메디필 > 믹순 > 나인위시스 || 나인위시스 > 메디필 > 믹순
anthropic,openai,main_00649,주미소,땡큐파머,벤튼,False,벤튼,땡큐파머,주미소,땡큐파머,주미소,벤튼,False,False,True,벤튼 > 땡큐파머 > 주미소 || 땡큐파머 > 주미소 > 벤튼
anthropic,openai,main_00657,클럽클리오,아누아,파파레서피,False,파파레서피,클럽클리오,아누아,아누아,파파레서피,클럽클리오,False,False,True,파파레서피 > 클럽클리오 > 아누아 || 아누아 > 파파레서피 > 클럽클리오
anthropic,openai,main_00667,주미소,센텔리안24,스킨푸드,False,센텔리안24,스킨푸드,주미소,스킨푸드,센텔리안24,주미소,False,False,True,센텔리안24 > 스킨푸드 > 주미소 || 스킨푸드 > 센텔리안24 > 주미소
anthropic,openai,main_00675,오드로이,벤튼,이즈앤트리,False,벤튼,오드로이,이즈앤트리,오드로이,벤튼,이즈앤트리,False,False,True,벤튼 > 오드로이 > 이즈앤트리 || 오드로이 > 벤튼 > 이즈앤트리
anthropic,openai,main_00678,에뛰드,리쥬란,토리든,False,리쥬란,에뛰드,토리든,토리든,리쥬란,에뛰드,False,False,True,리쥬란 > 에뛰드 > 토리든 || 토리든 > 리쥬란 > 에뛰드
anthropic,openai,main_00687,일소,믹순,스킨1004,False,믹순,스킨1004,일소,스킨1004,믹순,일소,False,False,True,믹순 > 스킨1004 > 일소 || 스킨1004 > 믹순 > 일소
anthropic,openai,main_00695,테라비코스,수이스킨,비플레인,False,수이스킨,테라비코스,비플레인,비플레인,테라비코스,수이스킨,False,False,True,수이스킨 > 테라비코스 > 비플레인 || 비플레인 > 테라비코스 > 수이스킨
anthropic,openai,main_00701,메디큐브,아누아,일소,False,아누아,메디큐브,일소,메디큐브,아누아,일소,False,False,True,아누아 > 메디큐브 > 일소 || 메디큐브 > 아누아 > 일소
anthropic,openai,main_00708,아이소이,설화수,제이준,False,제이준,설화수,아이소이,아이소이,제이준,설화수,False,False,True,제이준 > 설화수 > 아이소이 || 아이소이 > 제이준 > 설화수
anthropic,openai,main_00720,일리윤,제이준,블랑네이처,False,제이준,일리윤,블랑네이처,일리윤,제이준,블랑네이처,False,False,True,제이준 > 일리윤 > 블랑네이처 || 일리윤 > 제이준 > 블랑네이처
anthropic,openai,main_00733,비레디,에뛰드,설화수,False,비레디,에뛰드,설화수,설화수,에뛰드,비레디,False,False,True,비레디 > 에뛰드 > 설화수 || 설화수 > 에뛰드 > 비레디
anthropic,openai,main_00734,나인위시스,아이소이,엘리메르,False,나인위시스,엘리메르,아이소이,아이소이,엘리메르,나인위시스,False,False,True,나인위시스 > 엘리메르 > 아이소이 || 아이소이 > 엘리메르 > 나인위시스
anthropic,openai,main_00735,더마겐,이아소,벤튼,False,벤튼,더마겐,이아소,이아소,벤튼,더마겐,False,False,True,벤튼 > 더마겐 > 이아소 || 이아소 > 벤튼 > 더마겐
anthropic,openai,main_00738,블랑네이처,아비브,아로마티카,False,아로마티카,아비브,블랑네이처,아비브,아로마티카,블랑네이처,False,False,True,아로마티카 > 아비브 > 블랑네이처 || 아비브 > 아로마티카 > 블랑네이처
anthropic,openai,main_00749,은율,수이스킨,라운드랩,False,수이스킨,라운드랩,은율,은율,라운드랩,수이스킨,False,False,True,수이스킨 > 라운드랩 > 은율 || 은율 > 라운드랩 > 수이스킨
anthropic,openai,main_00755,휩드,유이크,일리윤,False,유이크,휩드,일리윤,휩드,일리윤,유이크,False,False,True,유이크 > 휩드 > 일리윤 || 휩드 > 일리윤 > 유이크
anthropic,openai,main_00762,휩드,이니스프리,닥터오라클,False,휩드,닥터오라클,이니스프리,이니스프리,휩드,닥터오라클,False,False,True,휩드 > 닥터오라클 > 이니스프리 || 이니스프리 > 휩드 > 닥터오라클
anthropic,openai,main_00773,티엘스,와더스킨,구달,False,티엘스,와더스킨,구달,구달,티엘스,와더스킨,False,False,True,티엘스 > 와더스킨 > 구달 || 구달 > 티엘스 > 와더스킨
anthropic,openai,main_00788,네이처리퍼블릭,라곰,벤튼,False,벤튼,라곰,네이처리퍼블릭,라곰,벤튼,네이처리퍼블릭,False,False,True,벤튼 > 라곰 > 네이처리퍼블릭 || 라곰 > 벤튼 > 네이처리퍼블릭
anthropic,openai,main_00796,리얼베리어,아누아,토리든,False,리얼베리어,아누아,토리든,토리든,리얼베리어,아누아,False,False,True,리얼베리어 > 아누아 > 토리든 || 토리든 > 리얼베리어 > 아누아
anthropic,openai,main_00799,비플레인,실크크리스탈,나인위시스,False,나인위시스,비플레인,실크크리스탈,비플레인,나인위시스,실크크리스탈,False,False,True,나인위시스 > 비플레인 > 실크크리스탈 || 비플레인 > 나인위시스 > 실크크리스탈
anthropic,openai,main_00805,일리윤,더후,스킨1004,False,스킨1004,일리윤,더후,일리윤,스킨1004,더후,False,False,True,스킨1004 > 일리윤 > 더후 || 일리윤 > 스킨1004 > 더후
anthropic,openai,main_00815,메이크프렘,스트라이덱스,클럽클리오,False,클럽클리오,스트라이덱스,메이크프렘,메이크프렘,스트라이덱스,클럽클리오,False,False,True,클럽클리오 > 스트라이덱스 > 메이크프렘 || 메이크프렘 > 스트라이덱스 > 클럽클리오
anthropic,openai,main_00826,나인위시스,지피덤,일리윤,False,지피덤,나인위시스,일리윤,일리윤,지피덤,나인위시스,False,False,True,지피덤 > 나인위시스 > 일리윤 || 일리윤 > 지피덤 > 나인위시스
anthropic,openai,main_00844,토리든,유이크,메디큐브,False,유이크,메디큐브,토리든,토리든,유이크,메디큐브,False,False,True,유이크 > 메디큐브 > 토리든 || 토리든 > 유이크 > 메디큐브
anthropic,openai,main_00849,구달,비알머드,헉슬리,False,비알머드,구달,헉슬리,구달,비알머드,헉슬리,False,False,True,비알머드 > 구달 > 헉슬리 || 구달 > 비알머드 > 헉슬리
anthropic,openai,main_00857,스킨푸드,리얼베리어,아누아,False,아누아,리얼베리어,스킨푸드,리얼베리어,아누아,스킨푸드,False,False,True,아누아 > 리얼베리어 > 스킨푸드 || 리얼베리어 > 아누아 > 스킨푸드
anthropic,openai,main_00866,스킨푸드,비레디,메디팜,False,비레디,스킨푸드,메디팜,스킨푸드,메디팜,비레디,False,False,True,비레디 > 스킨푸드 > 메디팜 || 스킨푸드 > 메디팜 > 비레디
anthropic,openai,main_00875,토니모리,더후,편강율,False,편강율,토니모리,더후,토니모리,편강율,더후,False,False,True,편강율 > 토니모리 > 더후 || 토니모리 > 편강율 > 더후
anthropic,openai,main_00876,네이처리퍼블릭,언리시아,오드로이,False,네이처리퍼블릭,오드로이,언리시아,오드로이,네이처리퍼블릭,언리시아,False,False,True,네이처리퍼블릭 > 오드로이 > 언리시아 || 오드로이 > 네이처리퍼블릭 > 언리시아
anthropic,openai,main_00911,스킨푸드,스킨푸드,아누아,True,스킨푸드,아누아,스킨푸드,아누아,스킨푸드,스킨푸드,False,False,True,스킨푸드 > 아누아 > 스킨푸드 || 아누아 > 스킨푸드 > 스킨푸드
anthropic,openai,main_00915,스킨푸드,이아소,오드로이,False,오드로이,스킨푸드,이아소,이아소,오드로이,스킨푸드,False,False,True,오드로이 > 스킨푸드 > 이아소 || 이아소 > 오드로이 > 스킨푸드
anthropic,openai,main_00922,더후,스킨1004,믹순,False,스킨1004,믹순,더후,믹순,스킨1004,더후,False,False,True,스킨1004 > 믹순 > 더후 || 믹순 > 스킨1004 > 더후
anthropic,openai,main_00940,휩드,설화수,닥터오라클,False,닥터오라클,휩드,설화수,휩드,닥터오라클,설화수,False,False,True,닥터오라클 > 휩드 > 설화수 || 휩드 > 닥터오라클 > 설화수
anthropic,openai,main_00944,메디큐브,테라비코스,토리든,False,테라비코스,메디큐브,토리든,토리든,테라비코스,메디큐브,False,False,True,테라비코스 > 메디큐브 > 토리든 || 토리든 > 테라비코스 > 메디큐브
anthropic,openai,main_00946,메디큐브,웰라쥬,이아소,False,메디큐브,웰라쥬,이아소,웰라쥬,이아소,메디큐브,False,False,True,메디큐브 > 웰라쥬 > 이아소 || 웰라쥬 > 이아소 > 메디큐브
anthropic,openai,main_00947,코스알엑스,바이오던스,나인위시스,False,나인위시스,바이오던스,코스알엑스,코스알엑스,나인위시스,바이오던스,False,False,True,나인위시스 > 바이오던스 > 코스알엑스 || 코스알엑스 > 나인위시스 > 바이오던스
anthropic,openai,main_00952,리쥬란,라운드랩,편강율,False,리쥬란,라운드랩,편강율,라운드랩,리쥬란,편강율,False,False,True,리쥬란 > 라운드랩 > 편강율 || 라운드랩 > 리쥬란 > 편강율
anthropic,openai,main_00969,스킨푸드,피캄,볼드포뮬러,False,볼드포뮬러,스킨푸드,,스킨푸드,볼드포뮬러,피캄,False,False,False,볼드포뮬러 > 스킨푸드 > nan || 스킨푸드 > 볼드포뮬러 > 피캄
anthropic,openai,main_00992,실크크리스탈,더후,에이프릴스킨,False,에이프릴스킨,더후,실크크리스탈,더후,에이프릴스킨,실크크리스탈,False,False,True,에이프릴스킨 > 더후 > 실크크리스탈 || 더후 > 에이프릴스킨 > 실크크리스탈
anthropic,openai,main_00994,베네투스,아누아,아로마티카,False,아로마티카,아누아,베네투스,베네투스,아누아,아로마티카,False,False,True,아로마티카 > 아누아 > 베네투스 || 베네투스 > 아누아 > 아로마티카
anthropic,openai,main_00995,비욘드,듀이트리,리쥬란,False,리쥬란,비욘드,듀이트리,듀이트리,리쥬란,비욘드,False,False,True,리쥬란 > 비욘드 > 듀이트리 || 듀이트리 > 리쥬란 > 비욘드
anthropic,openai,main_01010,바닐라코,듀이트리,아누아,False,바닐라코,듀이트리,아누아,듀이트리,바닐라코,아누아,False,False,True,바닐라코 > 듀이트리 > 아누아 || 듀이트리 > 바닐라코 > 아누아
anthropic,openai,main_01038,메디큐브,셀퓨전씨,식물나라,False,셀퓨전씨,메디큐브,식물나라,식물나라,셀퓨전씨,메디큐브,False,False,True,셀퓨전씨 > 메디큐브 > 식물나라 || 식물나라 > 셀퓨전씨 > 메디큐브
anthropic,openai,main_01046,일소,아로마티카,에이프릴스킨,False,아로마티카,에이프릴스킨,일소,에이프릴스킨,아로마티카,일소,False,False,True,아로마티카 > 에이프릴스킨 > 일소 || 에이프릴스킨 > 아로마티카 > 일소
anthropic,openai,main_01063,라운드랩,바이오던스,그레이멜린,False,바이오던스,라운드랩,그레이멜린,라운드랩,그레이멜린,바이오던스,False,False,True,바이오던스 > 라운드랩 > 그레이멜린 || 라운드랩 > 그레이멜린 > 바이오던스
anthropic,openai,main_01065,듀이트리,일루미엘,은율,False,일루미엘,듀이트리,은율,듀이트리,일루미엘,은율,False,False,True,일루미엘 > 듀이트리 > 은율 || 듀이트리 > 일루미엘 > 은율
anthropic,openai,main_01079,은율,바이오던스,토리든,False,바이오던스,토리든,은율,토리든,바이오던스,은율,False,False,True,바이오던스 > 토리든 > 은율 || 토리든 > 바이오던스 > 은율
anthropic,openai,main_01097,비알머드,토리든,스킨1004,False,스킨1004,토리든,비알머드,토리든,스킨1004,비알머드,False,False,True,스킨1004 > 토리든 > 비알머드 || 토리든 > 스킨1004 > 비알머드
anthropic,openai,main_01107,맥스클리닉,아비브,더후,False,아비브,맥스클리닉,더후,맥스클리닉,아비브,더후,False,False,True,아비브 > 맥스클리닉 > 더후 || 맥스클리닉 > 아비브 > 더후
anthropic,openai,main_01120,엘리메르,퐁당,이아소,False,이아소,엘리메르,퐁당,엘리메르,이아소,퐁당,False,False,True,이아소 > 엘리메르 > 퐁당 || 엘리메르 > 이아소 > 퐁당
anthropic,openai,main_01139,믹순,원씽,아이소이,False,믹순,원씽,아이소이,아이소이,믹순,원씽,False,False,True,믹순 > 원씽 > 아이소이 || 아이소이 > 믹순 > 원씽
anthropic,openai,main_01146,오드로이,아로마티카,휩드,False,아로마티카,오드로이,휩드,휩드,아로마티카,오드로이,False,False,True,아로마티카 > 오드로이 > 휩드 || 휩드 > 아로마티카 > 오드로이
anthropic,openai,main_01147,토리든,바이오던스,페이스인페이스,False,페이스인페이스,토리든,바이오던스,토리든,페이스인페이스,바이오던스,False,False,True,페이스인페이스 > 토리든 > 바이오던스 || 토리든 > 페이스인페이스 > 바이오던스
anthropic,openai,main_01151,바노바기,스킨푸드,라운드랩,False,바노바기,라운드랩,스킨푸드,라운드랩,스킨푸드,바노바기,False,False,True,바노바기 > 라운드랩 > 스킨푸드 || 라운드랩 > 스킨푸드 > 바노바기
anthropic,openai,main_01154,스킨1004,맥스클리닉,토리든,False,맥스클리닉,스킨1004,토리든,토리든,맥스클리닉,스킨1004,False,False,True,맥스클리닉 > 스킨1004 > 토리든 || 토리든 > 맥스클리닉 > 스킨1004
anthropic,openai,main_01158,션리,넘버즈인,일루미엘,False,일루미엘,션리,넘버즈인,넘버즈인,일루미엘,션리,False,False,True,일루미엘 > 션리 > 넘버즈인 || 넘버즈인 > 일루미엘 > 션리
anthropic,openai,main_01163,스킨1004,볼드포뮬러,설화수,False,볼드포뮬러,스킨1004,설화수,설화수,스킨1004,볼드포뮬러,False,False,True,볼드포뮬러 > 스킨1004 > 설화수 || 설화수 > 스킨1004 > 볼드포뮬러
anthropic,openai,main_01170,센텔리안24,스킨바리스타,스킨푸드,False,센텔리안24,스킨푸드,스킨바리스타,스킨바리스타,센텔리안24,스킨푸드,False,False,True,센텔리안24 > 스킨푸드 > 스킨바리스타 || 스킨바리스타 > 센텔리안24 > 스킨푸드
anthropic,openai,main_01174,믹순,바노바기,리쥬란,False,바노바기,믹순,리쥬란,리쥬란,바노바기,믹순,False,False,True,바노바기 > 믹순 > 리쥬란 || 리쥬란 > 바노바기 > 믹순
anthropic,openai,main_01175,테라비코스,더후,설화수,False,테라비코스,더후,설화수,설화수,테라비코스,더후,False,False,True,테라비코스 > 더후 > 설화수 || 설화수 > 테라비코스 > 더후
anthropic,openai,main_01182,그레이멜린,멜릭서,라운드랩,False,그레이멜린,라운드랩,멜릭서,라운드랩,그레이멜린,멜릭서,False,False,True,그레이멜린 > 라운드랩 > 멜릭서 || 라운드랩 > 그레이멜린 > 멜릭서
